#           M   M*dndlnm_    dndlnm_j     f(sig)_  lnsigma_j    neff_j       ngtm_       nltm_   sigma_j
  1.99526e+14 1.44748e+09 7.25457e-06 8.52628e-02   0.271663 -1.640753 3.45142e-06 8.10069e+05  0.762111
  2.23872e+14 1.31633e+09 5.87982e-06 7.67672e-02   0.297867 -1.627114 2.69534e-06 8.10069e+05  0.742400
  2.51189e+14 1.18935e+09 4.73490e-06 6.85210e-02   0.324371 -1.610260 2.08431e-06 8.10069e+05  0.722982
  2.81838e+14 1.06160e+09 3.76668e-06 6.05914e-02   0.351171 -1.597204 1.59492e-06 8.10069e+05  0.703863
  3.16228e+14 9.39836e+08 2.97202e-06 5.30505e-02   0.378231 -1.581568 1.20701e-06 8.10069e+05  0.685072
  3.54813e+14 8.23653e+08 2.32137e-06 4.59372e-02   0.405616 -1.564423 9.02297e-07 8.10069e+05  0.666566
  3.98107e+14 7.11227e+08 1.78652e-06 3.93139e-02   0.433284 -1.551534 6.65827e-07 8.10069e+05  0.648376
  4.46684e+14 6.08209e+08 1.36161e-06 3.32215e-02   0.461238 -1.534185 4.84606e-07 8.10069e+05  0.630502
  5.01187e+14 5.12496e+08 1.02256e-06 2.76807e-02   0.489534 -1.517623 3.47362e-07 8.10069e+05  0.612912
  5.62341e+14 4.24694e+08 7.55225e-07 2.27262e-02   0.518100 -1.503779 2.45024e-07 8.10069e+05  0.595651
  6.30957e+14 3.47353e+08 5.50517e-07 1.83563e-02   0.546988 -1.484935 1.69860e-07 8.10069e+05  0.578690
  7.07946e+14 2.78322e+08 3.93141e-07 1.45641e-02   0.576218 -1.469934 1.15539e-07 8.10069e+05  0.562020
  7.94328e+14 2.18988e+08 2.75690e-07 1.13407e-02   0.605719 -1.453939 7.70377e-08 8.10069e+05  0.545682
  8.91251e+14 1.69100e+08 1.89734e-07 8.64645e-03   0.635577 -1.434140 5.02458e-08 8.10069e+05  0.529630
  1.00000e+15 1.27147e+08 1.27147e-07 6.44498e-03   0.665762 -1.420454 3.20046e-08 8.10069e+05  0.513882
  1.12202e+15 9.36031e+07 8.34239e-08 4.68945e-03   0.696239 -1.401862 1.98832e-08 8.10069e+05  0.498456
